year,school_id,department_id,school_name,department_name,category_id,category_name,school_name_abbr,department_name_abbr
106,006,006042,國立政治大學,教育學系,1,教育,政大,教育
106,006,006052,國立政治大學,教育學系(公費生),1,教育,政大,教育(公)
106,006,006062,國立政治大學,教育學系(原住民公費生),1,教育,政大,教育(原住民)
106,006,006022,國立政治大學,歷史學系,2,藝術及人文,政大,歷史
106,006,006152,國立政治大學,民族學系,2,藝術及人文,政大,民族學
106,006,006032,國立政治大學,哲學系,2,藝術及人文,政大,哲學
106,006,006262,國立政治大學,英國語文學系,2,藝術及人文,政大,英國語文
106,006,006292,國立政治大學,日本語文學系,2,藝術及人文,政大,日本語文
106,006,006272,國立政治大學,阿拉伯語文學系,2,藝術及人文,政大,阿拉伯語文
106,006,006302,國立政治大學,韓國語文學系,2,藝術及人文,政大,韓國語文
106,006,006312,國立政治大學,土耳其語文學系,2,藝術及人文,政大,土耳其語
106,006,006322,國立政治大學,歐洲語文學系法文組,2,藝術及人文,政大,歐洲法文
106,006,006332,國立政治大學,歐洲語文學系德文組,2,藝術及人文,政大,歐洲德文
106,006,006342,國立政治大學,歐洲語文學系西班牙文組,2,藝術及人文,政大,歐洲西班牙文
106,006,006282,國立政治大學,斯拉夫語文學系,2,藝術及人文,政大,斯拉夫語
106,006,006012,國立政治大學,中國文學系,2,藝術及人文,政大,中文
106,006,006142,國立政治大學,經濟學系,3,社會科學、新聞學及圖書資訊,政大,經濟
106,006,006072,國立政治大學,政治學系,3,社會科學、新聞學及圖書資訊,政大,政治
106,006,006162,國立政治大學,外交學系,3,社會科學、新聞學及圖書資訊,政大,外交
106,006,006372,國立政治大學,心理學系,3,社會科學、新聞學及圖書資訊,政大,心理
106,006,006082,國立政治大學,社會學系,3,社會科學、新聞學及圖書資訊,政大,社會
106,006,006252,國立政治大學,傳播學院大一大二不分系,3,社會科學、新聞學及圖書資訊,政大,傳播不分系
106,006,006192,國立政治大學,會計學系,4,商業、管理及法律,政大,會計
106,006,006232,國立政治大學,財務管理學系,4,商業、管理及法律,政大,財務管理
106,006,006182,國立政治大學,金融學系,4,商業、管理及法律,政大,金融
106,006,006092,國立政治大學,財政學系,4,商業、管理及法律,政大,財政
106,006,006242,國立政治大學,風險管理與保險學系,4,商業、管理及法律,政大,風險管理保險
106,006,006212,國立政治大學,企業管理學系,4,商業、管理及法律,政大,企業管理
106,006,006102,國立政治大學,公共行政學系,4,商業、管理及法律,政大,公共行政
106,006,006112,國立政治大學,地政學系土地資源規劃組,4,商業、管理及法律,政大,地政土地資源
106,006,006122,國立政治大學,地政學系土地管理組,4,商業、管理及法律,政大,地政土地管理
106,006,006132,國立政治大學,地政學系土地測量與資訊組,4,商業、管理及法律,政大,地政土地資訊
106,006,006172,國立政治大學,國際經營與貿易學系,4,商業、管理及法律,政大,國際經貿
106,006,006352,國立政治大學,法律學系,4,商業、管理及法律,政大,法律
106,006,006362,國立政治大學,應用數學系,5,自然科學、數學及統計,政大,應用數學
106,006,006202,國立政治大學,統計學系,5,自然科學、數學及統計,政大,統計
106,006,006222,國立政治大學,資訊管理學系,6,資訊通訊科技,政大,資管
106,006,006382,國立政治大學,資訊科學系,6,資訊通訊科技,政大,資科
106,011,011052,國立清華大學,教育與學習科技學系,1,教育,清大,教育科技
106,011,011112,國立清華大學,教育與學習科技學系(公費生甲組),1,教育,清大,教育科技(甲)
106,011,011122,國立清華大學,教育與學習科技學系(公費生乙組),1,教育,清大,教育科技(乙)
106,011,011082,國立清華大學,特殊教育學系,1,教育,清大,特殊教育
106,011,011062,國立清華大學,幼兒教育學系,1,教育,清大,幼兒教育
106,011,011102,國立清華大學,英語教學系,1,教育,清大,英語教學
106,011,011522,國立清華大學,體育學系,1,教育,清大,體育
106,011,011492,國立清華大學,藝術與設計學系創作組,2,藝術及人文,清大,藝術設計創作
106,011,011502,國立清華大學,藝術與設計學系設計組,2,藝術及人文,清大,藝術設計設計
106,011,011512,國立清華大學,藝術與設計學系設計組(公費生),2,藝術及人文,清大,藝術設計設計(公費)
106,011,011472,國立清華大學,音樂學系,2,藝術及人文,清大,音樂
106,011,011042,國立清華大學,人文社會學院學士班,2,藝術及人文,清大,人社學院
106,011,011032,國立清華大學,外國語文學系,2,藝術及人文,清大,外文
106,011,011012,國立清華大學,中國文學系甲組(一般組),2,藝術及人文,清大,中文甲(一般)
106,011,011022,國立清華大學,中國文學系乙組(華語文教學組),2,藝術及人文,清大,中文乙(華教)
106,011,011132,國立清華大學,經濟學系,3,社會科學、新聞學及圖書資訊,清大,經濟
106,011,011072,國立清華大學,教育心理與諮商學系,3,社會科學、新聞學及圖書資訊,清大,教育心諮
106,011,011152,國立清華大學,計量財務金融學系,4,商業、管理及法律,清大,計量財金
106,011,011142,國立清華大學,科技管理學院學士班,4,商業、管理及法律,清大,科管學士
106,011,011372,國立清華大學,生命科學系,5,自然科學、數學及統計,清大,生命科學
106,011,011392,國立清華大學,生命科學院學士班,5,自然科學、數學及統計,清大,生科學士
106,011,011092,國立清華大學,環境與文化資源學系,5,自然科學、數學及統計,清大,環境文化資源
106,011,011212,國立清華大學,化學系,5,自然科學、數學及統計,清大,化學
106,011,011182,國立清華大學,物理學系物理組(一般組),5,自然科學、數學及統計,清大,物理物理(一般)
106,011,011192,國立清華大學,物理學系物理組(天文物理組),5,自然科學、數學及統計,清大,物理物理(天文)
106,011,011202,國立清華大學,物理學系光電物理組,5,自然科學、數學及統計,清大,物理光電物理
106,011,011222,國立清華大學,理學院學士班,5,自然科學、數學及統計,清大,理學院學士
106,011,011162,國立清華大學,數學系數學組,5,自然科學、數學及統計,清大,數學系數學
